"signature_size","Accuracy","Kappa","Sensitivity","Specificity","Balanced_Accuracy","AUC","n_unique_genes_selected","n_genes_selected_4plus_folds","n_genes_selected_5of5_folds","mean_best_mtry"
50,0.712328767123288,0.424333458505445,0.72972972972973,0.694444444444444,0.712087087087087,0.8003003003003,157,15,8,5
100,0.767123287671233,0.533633972190906,0.810810810810811,0.722222222222222,0.766516516516517,0.832957957957958,292,29,13,5.2
250,0.780821917808219,0.561232156273479,0.810810810810811,0.75,0.780405405405405,0.831456456456456,688,95,39,19.2
500,0.780821917808219,0.560902255639098,0.837837837837838,0.722222222222222,0.78003003003003,0.827702702702703,1272,216,90,6
