"fold","Accuracy","Kappa","Sensitivity","Specificity","Balanced_Accuracy","AUC"
1,0.866666666666667,0.732142857142857,0.875,0.857142857142857,0.866071428571429,0.964285714285714
2,0.533333333333333,0.0707964601769912,0.5,0.571428571428571,0.535714285714286,0.517857142857143
3,0.8,0.608695652173913,1,0.625,0.8125,1
4,0.714285714285714,0.428571428571429,0.857142857142857,0.571428571428571,0.714285714285714,0.857142857142857
5,0.857142857142857,0.714285714285714,0.857142857142857,0.857142857142857,0.857142857142857,0.979591836734694
