"gene","n_folds_selected","signature_size"
"RBM42",4,500
"RC3H1-IT1",4,500
"RHOA-IT1",4,500
"RIPOR3",4,500
"RN7SKP80",4,500
"RN7SL128P",4,500
"RN7SL558P",4,500
"RN7SL752P",4,500
"RNASEH2A",4,500
"RNU4-1",4,500
"RNU4-2",4,500
"RNU5B-1",4,500
"RNY3",4,500
"ROMO1",4,500
"RPN2",4,500
"RPS19",4,500
"SACS",4,500
"SART1",4,500
"SCG2",4,500
"SCHIP1",4,500
"SF3B5",4,500
"SH3TC2-DT",4,500
"SIK1B",4,500
"SNHG11",4,500
"SNORA13",4,500
"SNORA49",4,500
"SNORA80D",4,500
"SNORD15B",4,500
"SNORD3A",4,500
"SOX4",4,500
"SPNS2",4,500
"STEAP2",4,500
"STX16",4,500
"SUPT7L",4,500
"TBCB",4,500
"TFPT",4,500
"TMEM14A",4,500
"TNK2",4,500
"UBB",4,500
"UBE2D1",4,500
"UBE2G1",4,500
"UBE2V1",4,500
"URI1",4,500
"VPS72",4,500
"WIPI2",4,500
"WSB1",4,500
"ZNF22",4,500
"ZNF32",4,500
"ZNF410",4,500
"AACS",3,500
"ACAD11",3,500
"AFF1",3,500
"AOC3",3,500
"ARHGEF4",3,500
"ARHGEF5",3,500
"ATXN7L1",3,500
"BANF1",3,500
"BCOR",3,500
"BLM",3,500
"BLVRA",3,500
"BRMS1",3,500
"C1GALT1C1",3,500
"CALCOCO2",3,500
"CCT2",3,500
"CHMP4B",3,500
"CLDN1",3,500
"CNPY3",3,500
"CORO1B",3,500
"COX7B",3,500
"CTNNBL1",3,500
"DDX39A",3,500
"DHX38",3,500
"ECHS1",3,500
"EEF1A1P19",3,500
"EIF4A1P10",3,500
"EIF6",3,500
"EMCN",3,500
"EXOSC5",3,500
"EZH1",3,500
"F3",3,500
"FAM227B",3,500
"FGL2",3,500
"FOXP1-IT1",3,500
"FTSJ3",3,500
"GEM",3,500
"GIPR",3,500
"H2AC16",3,500
"H2AC21",3,500
"H2BC20P",3,500
"H2BC4",3,500
"HDGFL2",3,500
"HRAS",3,500
"HSPA5",3,500
"HSPE1P26",3,500
"INE1",3,500
"ING4",3,500
"JUNB",3,500
"KANSL1",3,500
"KAT14",3,500
"KLC1",3,500
"LEMD3",3,500
"LRBA",3,500
"MAF1",3,500
"MAPRE1",3,500
"MAST4",3,500
"MAZ",3,500
"MCL1",3,500
"MDM2",3,500
"MED15",3,500
"MIR222HG",3,500
"MPZL2",3,500
"MSTO2P",3,500
"MT-TM",3,500
"MTCO1P11",3,500
"MUC1",3,500
"NADK2",3,500
"NARF-IT1",3,500
"NCOA5",3,500
"NDUFB11",3,500
"NDUFB7",3,500
"NDUFC2",3,500
"NMT2",3,500
"NT5DC2",3,500
"NT5DC3",3,500
"NUMB",3,500
"OS9",3,500
"P3H1",3,500
"PCBP2",3,500
"PCIF1",3,500
"PCNA",3,500
"PFKFB3",3,500
"PIH1D1",3,500
"PIMREG",3,500
"PJA1",3,500
"POLR1C",3,500
"PPP1R12B",3,500
"PRDM11",3,500
"PTGES2",3,500
"PTMS",3,500
"PUF60",3,500
"RAB5IF",3,500
"RCBTB2",3,500
"RGS16",3,500
"RN7SKP230",3,500
"RNU6-1016P",3,500
"RNVU1-2",3,500
"RNVU1-28",3,500
"RPIA",3,500
"RPS5",3,500
"RUVBL2",3,500
"SMARCC1",3,500
"SNORA12",3,500
"SNORA20",3,500
"SNORA38",3,500
"SNORA65",3,500
"SNORD67",3,500
"SNRNP25",3,500
"SNRPD2",3,500
"SNX4",3,500
"SRPX2",3,500
"SSPO",3,500
"STEAP4",3,500
"SURF6",3,500
"SYTL4",3,500
"TAF11",3,500
"TCEAL1",3,500
"TCIM",3,500
"TDO2",3,500
"TGFB3",3,500
"THAP11",3,500
"THAP12",3,500
"THBS4",3,500
"TMEM199",3,500
"TRAPPC1",3,500
"TRIM28",3,500
"UBE2Z",3,500
"UGGT2",3,500
"USP22",3,500
"USP39",3,500
"USP5",3,500
"UXT",3,500
"WAKMAR2",3,500
"WRAP53",3,500
"YWHAE",3,500
"ZNF397",3,500
"ZNF432",3,500
"ABCB8",2,500
"ACTR8",2,500
"AGTPBP1",2,500
"APOLD1",2,500
"AQP1",2,500
"ASNSD1",2,500
"ASTN2",2,500
"ATP5F1A",2,500
"ATP6AP2",2,500
"B4GAT1",2,500
"BAG6",2,500
"BCO2",2,500
"BLOC1S3",2,500
"BRD3",2,500
"BTG2",2,500
"BYSL",2,500
"C1D",2,500
"C1QBP",2,500
"CALR",2,500
"CARM1",2,500
"CCDC138",2,500
"CCDC144CP",2,500
"CCDC146",2,500
"CCDC82",2,500
"CCDC84",2,500
"CCDC86",2,500
"CCDC9B",2,500
"CCT7",2,500
"CDK11B",2,500
"CDK5RAP3",2,500
"CDRT4",2,500
"CEP131",2,500
"CFAP20",2,500
"CFAP298",2,500
"CHCHD2",2,500
"CHMP4A",2,500
"CHRDL1",2,500
"CKAP5",2,500
"CKS1B",2,500
"CLASRP",2,500
"COQ6",2,500
"CPSF6",2,500
"CPVL",2,500
"CRY1",2,500
"CSMD2",2,500
"CSRP1",2,500
"CTSF",2,500
"CUTA",2,500
"CWC15",2,500
"DCAF1",2,500
"DDOST",2,500
"DDX41",2,500
"DSN1",2,500
"DTX2P1-UPK3BP1-PMS2P11",2,500
"DUSP1",2,500
"EFCAB13",2,500
"EIF3CL",2,500
"ELOF1",2,500
"FAM214B",2,500
"FAM219A",2,500
"FARSA",2,500
"FLAD1",2,500
"FNTB",2,500
"FOXK1",2,500
"FTSJ1",2,500
"GCNT1P3",2,500
"GEMIN4",2,500
"GJB2",2,500
"GNAS",2,500
"GRWD1",2,500
"H2AC6",2,500
"H2BC17",2,500
"HAUS3",2,500
"HGH1",2,500
"HOXA10",2,500
"HSP90AA1",2,500
"HSP90AB3P",2,500
"IRX6",2,500
"ITPRIPL1",2,500
"KIF11",2,500
"KLHDC3",2,500
"LIF",2,500
"LLGL1",2,500
"LMAN2",2,500
"LRP3",2,500
"LRP5",2,500
"LRRC37BP1",2,500
"LSM3",2,500
"MAGED2",2,500
"MCM3",2,500
"MCM6",2,500
"MCM7",2,500
"MCMBP",2,500
"MED12L",2,500
"MEF2D",2,500
"MEX3D",2,500
"MFAP1",2,500
"MFSD4B",2,500
"MLST8",2,500
"MRFAP1",2,500
"MRGBP",2,500
"MRPL2",2,500
"MRPL37",2,500
"MRPL4",2,500
"MRPS12",2,500
"MRPS26",2,500
"MRPS34",2,500
"MTND4P14",2,500
"MTUS1",2,500
"MYO15A",2,500
"NAA38",2,500
"NDUFA3",2,500
"NIF3L1",2,500
"NINL",2,500
"NIPSNAP3A",2,500
"NOMO2",2,500
"NR4A1",2,500
"NSMCE1",2,500
"NUP107",2,500
"NUP160",2,500
"NXT1",2,500
"OBI1",2,500
"OLFML1",2,500
"OTUB1",2,500
"PAFAH1B3",2,500
"PIBF1",2,500
"PLD3",2,500
"POP7",2,500
"PPM1G",2,500
"PPP2R5D",2,500
"PQBP1",2,500
"PRPF19",2,500
"PSMB4",2,500
"PSMC4",2,500
"PSMD7",2,500
"PTDSS1",2,500
"PTPRS",2,500
"RASAL2",2,500
"RBM15B",2,500
"RBM3",2,500
"RBM8A",2,500
"RELN",2,500
"RN7SKP203",2,500
"RN7SL329P",2,500
"RN7SL517P",2,500
"RNF40",2,500
"RPL21P123",2,500
"RPL41",2,500
"RPN1",2,500
"RPS14",2,500
"RPS15AP29",2,500
"RPS15AP6",2,500
"RPS16",2,500
"RPS20P22",2,500
"RPS27AP16",2,500
"SCAND1",2,500
"SCNM1",2,500
"SCYL1",2,500
"SEPHS1",2,500
"SERBP1",2,500
"SF3B2",2,500
"SFR1",2,500
"SLC23A3",2,500
"SLC9A3",2,500
"SLK",2,500
"SMC1A",2,500
"SMC2",2,500
"SNORA3B",2,500
"SNORA5C",2,500
"SNORA71A",2,500
"SNRPC",2,500
"SOS1-IT1",2,500
"SPCS1",2,500
"SSRP1",2,500
"SUCLA2",2,500
"SYTL2",2,500
"TAFA5",2,500
"TGIF2",2,500
"TGS1",2,500
"TIAF1",2,500
"TIMM10",2,500
"TK1",2,500
"TM9SF3",2,500
"TMA7",2,500
"TMEM267",2,500
"TOMM40",2,500
"TOP2B",2,500
"TOX4",2,500
"TRAP1",2,500
"TRIR",2,500
"TSEN34",2,500
"TSEN54",2,500
"TSPAN13",2,500
"TSPAN5",2,500
"TTBK2",2,500
"TTC31",2,500
"TTLL3",2,500
"TUFM",2,500
"TXNRD2",2,500
"U2AF2",2,500
"UBQLN2",2,500
"UNC45A",2,500
"UQCC3",2,500
"UQCRFS1",2,500
"WDFY2",2,500
"ZDHHC21",2,500
"ZFHX2-AS1",2,500
"ZMYM1",2,500
"ZNF34",2,500
"ZNF431",2,500
"ZNF526",2,500
"ZNF66",2,500
"ZNF662",2,500
"ZNF771",2,500
"ZNF845",2,500
"ZRSR2",2,500
"AARSD1",1,500
"ABCA13",1,500
"ACADM",1,500
"ADAMTS4",1,500
"ADD2",1,500
"ADGRL3",1,500
"ADGRV1",1,500
"ADRM1",1,500
"AGAP3",1,500
"AGAP6",1,500
"AGBL2",1,500
"AGK",1,500
"AIMP2",1,500
"ALDH1A2",1,500
"ALDOC",1,500
"ALYREF",1,500
"ANAPC15",1,500
"ANGPT1",1,500
"ANO2",1,500
"ANP32E",1,500
"ANXA1",1,500
"AOC2",1,500
"APEX2",1,500
"ARHGEF34P",1,500
"ARL3",1,500
"ARMC1",1,500
"ARSG",1,500
"ATF7",1,500
"ATP5F1E",1,500
"ATP7A",1,500
"ATP8A2",1,500
"ATRN",1,500
"ATXN7",1,500
"BACH1-IT3",1,500
"BAIAP2L1",1,500
"BAMBI",1,500
"BASP1",1,500
"BBOF1",1,500
"BBS5",1,500
"BCAP31",1,500
"BCL2L13",1,500
"BCL6",1,500
"BECN1",1,500
"BIN3",1,500
"BLOC1S4",1,500
"BOD1L1",1,500
"BOP1",1,500
"BRIP1",1,500
"BTBD2",1,500
"BZW1",1,500
"C11orf95",1,500
"C12orf57",1,500
"C14orf93",1,500
"C18orf25",1,500
"C4orf48",1,500
"C8orf58",1,500
"C9orf78",1,500
"CA12",1,500
"CAMSAP1",1,500
"CAPN1",1,500
"CAPNS1",1,500
"CAVIN3",1,500
"CCDC102B",1,500
"CCDC112",1,500
"CCDC124",1,500
"CCDC149",1,500
"CCDC150",1,500
"CCDC174",1,500
"CCDC34",1,500
"CCND2",1,500
"CCNQ",1,500
"CD24",1,500
"CD2BP2",1,500
"CD69",1,500
"CD93",1,500
"CDC20",1,500
"CDC25B",1,500
"CDC37",1,500
"CDC5L",1,500
"CDCA5",1,500
"CDH23",1,500
"CDH6",1,500
"CDIP1",1,500
"CDIPT",1,500
"CDR2L",1,500
"CENPB",1,500
"CENPJ",1,500
"CENPP",1,500
"CFAP69",1,500
"CFAP70",1,500
"CHAF1A",1,500
"CHAF1B",1,500
"CHERP",1,500
"CHIC2",1,500
"CHMP2B",1,500
"CHRD",1,500
"CIR1",1,500
"CLNS1A",1,500
"CMTR2",1,500
"CMYA5",1,500
"COL19A1",1,500
"COL7A1",1,500
"COMP",1,500
"COPRS",1,500
"COX4I1",1,500
"COX6CP1",1,500
"COX7A2",1,500
"CPSF3",1,500
"CPSF4",1,500
"CPXM1",1,500
"CREBZF",1,500
"CRTAC1",1,500
"CSF3R",1,500
"CSNK2B",1,500
"CSPG4P10",1,500
"CSPG4P13",1,500
"CSTF2T",1,500
"CTBP2",1,500
"CXCL8",1,500
"DAD1",1,500
"DARS2",1,500
"DBH-AS1",1,500
"DCAF5",1,500
"DCAF6",1,500
"DCAF7",1,500
"DCTN1",1,500
"DCTN3",1,500
"DCXR",1,500
"DDRGK1",1,500
"DDX18",1,500
"DDX28",1,500
"DDX60L",1,500
"DHRS7B",1,500
"DHX29",1,500
"DIAPH3",1,500
"DIPK2B",1,500
"DLEC1",1,500
"DLG2",1,500
"DLGAP1-AS2",1,500
"DLL4",1,500
"DMKN",1,500
"DMRTA1",1,500
"DMTF1",1,500
"DNAAF2",1,500
"DNAJC25",1,500
"DNAJC7",1,500
"DNPEP",1,500
"DOCK3",1,500
"DOK1",1,500
"DPM1",1,500
"DPP3",1,500
"DPP4",1,500
"DPYSL4",1,500
"DRAP1",1,500
"DUS3L",1,500
"EBNA1BP2",1,500
"ECHDC3",1,500
"EDC4",1,500
"EDIL3",1,500
"EEF1A1P12",1,500
"EEF1A1P9",1,500
"EEF1E1",1,500
"EFR3A",1,500
"EFTUD2",1,500
"EGR1",1,500
"EGR3",1,500
"EID2",1,500
"EIF2B1",1,500
"EIF3B",1,500
"EIF3G",1,500
"EIF5A",1,500
"ELOB",1,500
"EME2",1,500
"EN2",1,500
"ENTPD4",1,500
"EPHA4",1,500
"ERAL1",1,500
"ERG",1,500
"ERGIC3",1,500
"ERVK3-1",1,500
"ESAM",1,500
"ESF1",1,500
"EXO5",1,500
"EXOSC4",1,500
"F5",1,500
"FADD",1,500
"FAM160A2",1,500
"FAM162A",1,500
"FAM221A",1,500
"FAM32A",1,500
"FASN",1,500
"FBN1",1,500
"FBXO42",1,500
"FGD1",1,500
"FILIP1",1,500
"FKBP8",1,500
"FLT1",1,500
"FLT4",1,500
"FMO2",1,500
"FOSB",1,500
"FOXD1",1,500
"FSTL3",1,500
"FZD4",1,500
"GAB2",1,500
"GABARAPL1",1,500
"GAD1",1,500
"GADD45GIP1",1,500
"GALK1",1,500
"GAS2L1",1,500
"GDF15",1,500
"GEMIN5",1,500
"GID8",1,500
"GLRX5",1,500
"GNE",1,500
"GNL3",1,500
"GNPNAT1",1,500
"GOT2",1,500
"GPI",1,500
"GPKOW",1,500
"GPN3",1,500
"GPRC5A",1,500
"GRASP",1,500
"GREB1",1,500
"GREB1L",1,500
"GREM1",1,500
"GRIK3",1,500
"GRK3",1,500
"GRK5-IT1",1,500
"GSPT2",1,500
"GTF3C1",1,500
"GUCY1A2",1,500
"GVQW3",1,500
"H1-2",1,500
"H1-5",1,500
"H2AC11",1,500
"H2AX",1,500
"H2BC15",1,500
"H3C1",1,500
"H3C10",1,500
"H4C1",1,500
"H4C8",1,500
"HCCS",1,500
"HEPH",1,500
"HERC2P4",1,500
"HEXIM1",1,500
"HMCN2",1,500
"HMGB2",1,500
"HMGCL",1,500
"HMGN1P8",1,500
"HNRNPA1P48",1,500
"HNRNPAB",1,500
"HS6ST1",1,500
"HSD17B1",1,500
"HSP90AB1",1,500
"HSP90B1",1,500
"HSPA12A",1,500
"HSPA2",1,500
"HSPBP1",1,500
"HSPE1",1,500
"HYAL1",1,500
"IDH3B",1,500
"IER2",1,500
"IFRD2",1,500
"IGF2",1,500
"IGFN1",1,500
"IGHA2",1,500
"IGHMBP2",1,500
"IGHV3-21",1,500
"IGLV1-51",1,500
"IL11RA",1,500
"IL17D",1,500
"IL1RAP",1,500
"IMMP2L",1,500
"ING2",1,500
"INHBB",1,500
"INIP",1,500
"INO80E",1,500
"INPP5K",1,500
"INPPL1",1,500
"INTS12",1,500
"INTS4",1,500
"INTS5",1,500
"IRX3",1,500
"ISYNA1",1,500
"ITGA10",1,500
"ITM2C",1,500
"JPT1",1,500
"KARS1",1,500
"KATNB1",1,500
"KBTBD6",1,500
"KCNT2",1,500
"KCTD18",1,500
"KHNYN",1,500
"KIF7",1,500
"KLHDC2",1,500
"KLHL24",1,500
"KLHL3",1,500
"KLRA1P",1,500
"KMT2C",1,500
"KRI1",1,500
"LAMA5",1,500
"LAMP3",1,500
"LAMTOR1",1,500
"LCAT",1,500
"LCORL",1,500
"LEF1-AS1",1,500
"LEPR",1,500
"LETMD1",1,500
"LGALS8",1,500
"LIMA1",1,500
"LIMK2",1,500
"LINC00173",1,500
"LINC00472",1,500
"LINC00598",1,500
"LINC00862",1,500
"LLGL2",1,500
"LMBRD1",1,500
"LPP",1,500
"LRCH3",1,500
"LRPAP1",1,500
"LSM2",1,500
"LSMEM1",1,500
"LUC7L2",1,500
"LUCAT1",1,500
"LYVE1",1,500
"MAGEF1",1,500
"MAN2B1",1,500
"MANF",1,500
"MAPK4",1,500
"MARK3",1,500
"MAT2B",1,500
"MCM4",1,500
"MCRIP2",1,500
"MDGA1",1,500
"METTL1",1,500
"MGAM2",1,500
"MGAT2",1,500
"MICU2",1,500
"MINPP1",1,500
"MIR5699",1,500
"MKRN1",1,500
"MPV17L",1,500
"MRE11",1,500
"MRPL11",1,500
"MRPL28",1,500
"MRPL41",1,500
"MRPL52",1,500
"MRPL58",1,500
"MRPL9",1,500
"MRPS15",1,500
"MRPS18A",1,500
"MRTFB",1,500
"MT1E",1,500
"MTA2",1,500
"MTCO2P11",1,500
"MTND1P23",1,500
"MTND5P2",1,500
"MUL1",1,500
"MXD1",1,500
"MYBBP1A",1,500
"MYLIP",1,500
"MYNN",1,500
"NABP2",1,500
"NALCN",1,500
"NBEAL1",1,500
"NBR2",1,500
"NCAPD2",1,500
"NCBP1",1,500
"NCK2",1,500
"NDFIP2",1,500
"NDUFB10",1,500
"NDUFB2",1,500
"NDUFB9",1,500
"NDUFS1",1,500
"NDUFS2",1,500
"NDUFS8",1,500
"NDUFV1",1,500
"NEAT1",1,500
"NEB",1,500
"NELL1",1,500
"NFAT5",1,500
"NFKBID",1,500
"NFX1",1,500
"NIP7",1,500
"NKAP",1,500
"NOB1",1,500
"NOC3L",1,500
"NOP14",1,500
"NOP56",1,500
"NOTCH2",1,500
"NOTCH4",1,500
"NOVA2",1,500
"NOX5",1,500
"NPC1",1,500
"NPHP4",1,500
"NPIPP1",1,500
"NPTXR",1,500
"NR2F6",1,500
"NR4A2",1,500
"NRG1",1,500
"NSUN3",1,500
"NTMT1",1,500
"NUDC",1,500
"OAT",1,500
"OLFML3",1,500
"ORC1",1,500
"OSGEP",1,500
"OTUD5",1,500
"PABPC1P3",1,500
"PABPN1",1,500
"PAQR7",1,500
"PARG",1,500
"PARP6",1,500
"PAXIP1-AS2",1,500
"PBDC1",1,500
"PCDH12",1,500
"PCGF5",1,500
"PCSK7",1,500
"PDCD11",1,500
"PDK4",1,500
"PDLIM3",1,500
"PDZD8",1,500
"PEX26",1,500
"PEX6",1,500
"PFAS",1,500
"PGF",1,500
"PGLS",1,500
"PGM5",1,500
"PHF14",1,500
"PHLDB1",1,500
"PHYKPL",1,500
"PILRB",1,500
"PIP5K1B",1,500
"PKHD1",1,500
"PKN1",1,500
"PLA2G4A",1,500
"PLEKHO2",1,500
"PLXNA2",1,500
"PNO1",1,500
"POLD2",1,500
"POLE3",1,500
"POLR2F",1,500
"POMP",1,500
"PON2",1,500
"PPIP5K1",1,500
"PPL",1,500
"PPP4C",1,500
"PRKAR1B",1,500
"PROM1",1,500
"PROSER2",1,500
"PRPF4",1,500
"PRR26",1,500
"PSMA6",1,500
"PSMB5",1,500
"PSMC3",1,500
"PSMC5",1,500
"PSMD10",1,500
"PSMF1",1,500
"PTGR2",1,500
"PTPA",1,500
"QARS1",1,500
"RAB11B",1,500
"RAB2A",1,500
"RAB2B",1,500
"RAC3",1,500
"RAD1",1,500
"RALGAPA2",1,500
"RALY",1,500
"RANGRF",1,500
"RAP2A",1,500
"RASEF",1,500
"RASGRF2",1,500
"RBFADN",1,500
"RBM26",1,500
"RCAN1",1,500
"RECQL4",1,500
"REXO2",1,500
"RGP1",1,500
"RHOC",1,500
"RIC1",1,500
"RLBP1",1,500
"RMDN3",1,500
"RMND5B",1,500
"RN7SKP16",1,500
"RN7SL396P",1,500
"RN7SL809P",1,500
"RNF130",1,500
"RNF181",1,500
"RNU1-11P",1,500
"RNY1",1,500
"ROBO4",1,500
"RPA1",1,500
"RPA3",1,500
"RPAP3",1,500
"RPL10P9",1,500
"RPL13A",1,500
"RPL18",1,500
"RPL18A",1,500
"RPL8",1,500
"RPLP2",1,500
"RPS10P7",1,500
"RPS8",1,500
"RPS9",1,500
"RPSA",1,500
"RRAGA",1,500
"RREB1",1,500
"RSF1",1,500
"RTL10",1,500
"RTN2",1,500
"RUBCN",1,500
"RUSC2",1,500
"RXRG",1,500
"RYR1",1,500
"RYR3",1,500
"S100A9",1,500
"SAE1",1,500
"SAP30L",1,500
"SCAF11",1,500
"SDC3",1,500
"SDHA",1,500
"SDK2",1,500
"SEC23B",1,500
"SEC31A",1,500
"SELENOH",1,500
"SEMA3D",1,500
"SERINC5",1,500
"SERPINA3",1,500
"SETD1A",1,500
"SETDB1",1,500
"SEZ6L2",1,500
"SGIP1",1,500
"SGPP1",1,500
"SIN3A",1,500
"SKAP2",1,500
"SLAMF1",1,500
"SLC16A3",1,500
"SLC16A7",1,500
"SLC25A11",1,500
"SLC25A38",1,500
"SLC25A51",1,500
"SLC36A4",1,500
"SLC45A3",1,500
"SLC52A2",1,500
"SLC6A1",1,500
"SMARCB1",1,500
"SMG1P7",1,500
"SMIM26",1,500
"SNORA33",1,500
"SNORA54",1,500
"SNORA5A",1,500
"SNORA60",1,500
"SNORA74D",1,500
"SNORD17",1,500
"SNORD46",1,500
"SNRPA",1,500
"SNRPB2",1,500
"SNRPE",1,500
"SNX6",1,500
"SOCS3",1,500
"SOD3",1,500
"SORCS2",1,500
"SP1",1,500
"SPAST",1,500
"SRM",1,500
"SSB",1,500
"ST3GAL5-AS1",1,500
"ST7",1,500
"STARD5",1,500
"STIP1",1,500
"STK36",1,500
"STMN3",1,500
"STRADA",1,500
"STRAP",1,500
"STUM",1,500
"SUMO2",1,500
"SUPT5H",1,500
"SYNJ2",1,500
"TAGLN2",1,500
"TALDO1",1,500
"TBX19",1,500
"TCEAL4",1,500
"TENT4B",1,500
"THAP4",1,500
"THAP6",1,500
"THOP1",1,500
"TICRR",1,500
"TIE1",1,500
"TIMM21",1,500
"TINAGL1",1,500
"TMED1",1,500
"TMEM109",1,500
"TMEM163",1,500
"TMEM165",1,500
"TMEM184B",1,500
"TMEM218",1,500
"TMEM223",1,500
"TMEM241",1,500
"TMEM242",1,500
"TMEM255B",1,500
"TMEM59",1,500
"TMEM63A",1,500
"TMEM70",1,500
"TMTC4",1,500
"TMX1",1,500
"TNFSF4",1,500
"TNS3",1,500
"TOP1MT",1,500
"TP53",1,500
"TPM1",1,500
"TPX2",1,500
"TRA2B",1,500
"TREM1",1,500
"TRIM56",1,500
"TRMT6",1,500
"TSFM",1,500
"TSPYL5",1,500
"TTC21A",1,500
"TTC33",1,500
"TTN",1,500
"TUBA1B",1,500
"TUBB",1,500
"TUBB2A",1,500
"TUBB4B",1,500
"TULP3",1,500
"TXN",1,500
"TXNDC12",1,500
"UBA2",1,500
"UBAC1",1,500
"UBAP1",1,500
"UBE2A",1,500
"UBE2H",1,500
"UBE2M",1,500
"UBE3C",1,500
"UFD1",1,500
"UNC13B",1,500
"UPP1",1,500
"UQCRC1",1,500
"UTP18",1,500
"VARS1",1,500
"VEGFA",1,500
"VPS16",1,500
"VRK1",1,500
"VSIG10",1,500
"WASH5P",1,500
"WASH8P",1,500
"WDR18",1,500
"WDR27",1,500
"WDR48",1,500
"WDR5",1,500
"WIPF3",1,500
"WNT2B",1,500
"WRN",1,500
"WRNIP1",1,500
"XPO5",1,500
"XRCC6",1,500
"XRN2",1,500
"XYLT1",1,500
"YBX1P10",1,500
"YEATS4",1,500
"YES1P1",1,500
"YIF1A",1,500
"YKT6",1,500
"ZBED5",1,500
"ZBTB10",1,500
"ZBTB16",1,500
"ZC2HC1A",1,500
"ZC3H15",1,500
"ZC3H4",1,500
"ZFHX2",1,500
"ZFP1",1,500
"ZFPM2",1,500
"ZHX1",1,500
"ZMYND19",1,500
"ZNF124",1,500
"ZNF180",1,500
"ZNF185",1,500
"ZNF192P1",1,500
"ZNF213",1,500
"ZNF232",1,500
"ZNF253",1,500
"ZNF430",1,500
"ZNF436-AS1",1,500
"ZNF502",1,500
"ZNF506",1,500
"ZNF519",1,500
"ZNF529",1,500
"ZNF543",1,500
"ZNF655",1,500
"ZNF675",1,500
"ZNF689",1,500
"ZNF692",1,500
"ZNF71",1,500
"ZNF721",1,500
"ZNF724",1,500
