"logFC","logCPM","F","PValue","FDR","gene"
-1.17858265095114,5.3974298804162,43.420016134905,5.49587157757993e-09,4.39343981326841e-05,"SNORA53"
0.817954524247899,6.93651300776023,42.8681620916752,6.48238998637907e-09,4.39343981326841e-05,"MIR3609"
1.58432951032534,4.2146301364892,36.5176140404217,5.5257748920974e-08,0.000249672928874601,"GABRE"
-3.68658010734133,5.71710152964155,35.5155190227237,7.77309003833087e-08,0.000252472010129816,"CYSLTR2"
2.81823176648339,4.57809731093349,35.0175763064602,9.3128738520773e-08,0.000252472010129816,"MEG8"
-0.807776193280652,5.17952595872999,29.6812591889423,6.26753509710029e-07,0.00141594063735324,"RNU6ATAC"
-0.771545152807114,7.3257443972772,28.2945277371346,1.04182923888479e-06,0.00173795294640114,"RN7SKP255"
1.40175901597708,5.82105684442546,28.0774104916143,1.13143635583287e-06,0.00173795294640114,"DEPP1"
2.48718377532715,8.10910516849321,28.0212959178029,1.15393408466325e-06,0.00173795294640114,"MEG3"
2.67798038114973,4.1251783580497,27.644694324848,1.3548859527834e-06,0.0018365479089979,"IL1RN"
0.78598674165695,9.68384735385056,26.955382623261,1.72641958371663e-06,0.00212741976884354,"VMP1"
-0.821488891765575,4.44757603487731,25.9525833965239,2.56553323027164e-06,0.00289798357802767,"SNORA37"
-0.459010295014203,5.11135750478256,25.696756728334,2.81127587735765e-06,0.00293129573212177,"CRNKL1"
-1.1043220086406,2.1367301864858,24.9616300934295,3.05590148264944e-06,0.00295876747123666,"RNY3"
-1.39221937251611,3.75278888920351,24.7109754678607,4.1202544819957e-06,0.00372333663356345,"SNORD3C"
-0.586891636995329,4.14469147801003,23.6654710710037,6.24999625693064e-06,0.00529491870391842,"LRRC40"
1.14663952835455,7.01177416911292,22.81744293609,8.64368878235212e-06,0.00684348470644405,"ZFP36"
1.09660619911145,3.1949068193611,22.6552807371951,9.39704114169509e-06,0.00684348470644405,"RN7SL600P"
-0.459987449159575,5.08102608418204,22.567918982592,9.59249055126794e-06,0.00684348470644405,"DAXX"
-0.486697713859789,3.98270504556182,21.9257261423351,1.24964395905032e-05,0.00812362374573639,"TXNDC9"
0.63474129844295,4.31645201608687,21.8968460202929,1.25854738960136e-05,0.00812362374573639,"EBLN2"
-0.541489221218821,6.25191636900812,21.5722556551906,1.42622245761058e-05,0.00878747518768697,"ABCF1"
1.00498839124202,2.36303762634656,21.3153299617855,1.59558616340885e-05,0.00908849380055064,"ARHGAP44"
-0.966615510440256,3.74147409456678,21.252216479803,1.6376791311099e-05,0.00908849380055064,"RNA5S9"
1.84820403841701,2.93993046943279,21.1864398380865,1.70024268085385e-05,0.00908849380055064,"KEL"
-0.848724012588983,3.36393833497857,21.046757845594,1.77130499431963e-05,0.00908849380055064,"RN7SKP79"
-0.891317802957958,9.4407686728873,20.9822705609153,1.81032336860839e-05,0.00908849380055064,"SNORA73B"
-0.957289229458882,5.96823585163722,19.8601262716396,2.87417095563139e-05,0.013914066894137,"SNORA74A"
-0.645549793201132,4.75826665593634,19.5399867563258,3.29445428660875e-05,0.0152793728145886,"ZNF100"
-0.316942403738533,7.23061160682065,19.4477654050327,3.40388374161857e-05,0.0152793728145886,"SRSF1"
-0.49517573876508,4.87391731624511,19.3329335347925,3.58645921698034e-05,0.0152793728145886,"NELFE"
-0.558324157171026,2.83070816513339,19.2223480225173,3.70711264762616e-05,0.0152793728145886,"SDHAF1"
-0.737139018576864,4.55567364973387,19.2492954078975,3.72209140514232e-05,0.0152793728145886,"H2BC12"
